# id	description_da_full	description_en	confidence
916	Dermato-venerologi, fjernelse af pigmentforandringer	Dermato-venereology, removal of pigment lesions	high
917	Dermato-venerologi, fjernelse af uønsket hårvækst	Dermato-venereology, removal of unwanted hair growth	high
918	Dermato-venerologi, forundersøgelse §3-aftale Vejle	Dermato-venereology, preliminary examination (§3 agreement, Vejle)	medium
919	Dermato-venerologi, laserbehandling karsprængninger	Dermato-venereology, laser treatment of broken capillaries	high
2292	Tandplejere, almindelig paradontalbehandling	Dental hygienist service, ordinary periodontal treatment	high
2297	Tandplejere, kontrol af almindelig paradontalbehandling	Dental hygienist service, follow-up of ordinary periodontal treatment	high
2300	Tandplejere, kontrol af udvidet paradontalbehandling	Dental hygienist service, follow-up of extended periodontal treatment	high
2303	Tandplejere, tandrensning mindst 15 tænder	Dental hygienist service, dental scaling, at least 15 teeth	high
2304	Tandplejere, udvidet paradontalbehandling	Dental hygienist service, extended periodontal treatment	high
2305	Tandplejere, udvidet forebyggende behandling	Dental hygienist service, extended preventive treatment	high
2306	Tandplejere, udvidet paradontalbehandling	Dental hygienist service, extended periodontal treatment	high
2339	Diagnostisk radiologi, hals- og luftrør, halvt	Diagnostic radiology, neck and trachea, half (reduced fee)	high
2340	Diagnostisk radiologi, hals- og luftrør	Diagnostic radiology, neck and trachea	high
2350	Diagnostisk radiologi, intravenøs cholangiografi	Diagnostic radiology, intravenous cholangiography	high
2357	Diagnostisk radiologi, lår og hofteled, halvt	Diagnostic radiology, thigh and hip joint, half (reduced fee)	high
2360	Diagnostisk radiologi, lænde- og korsbenshvirvler	Diagnostic radiology, lumbar and sacral vertebrae	high
2361	Diagnostisk radiologi, lænde- og korsben, halvt	Diagnostic radiology, lumbar spine and sacrum, half (reduced fee)	high
2371	Diagnostisk radiologi, skulderled med videre, halvt	Diagnostic radiology, shoulder joint etc., half (reduced fee)	high
2372	Diagnostisk radiologi, skulderled og overarm	Diagnostic radiology, shoulder joint and upper arm	high
2384	Diagnostisk radiologi, underben	Diagnostic radiology, lower leg	high
2385	Diagnostisk radiologi, underben, halvt	Diagnostic radiology, lower leg, half (reduced fee)	high
2386	Diagnostisk radiologi, belastningsundersøgelse af led, følgende	Diagnostic radiology, weight-bearing examination of joint, subsequent	high
2393	Diagnostisk radiologi, funktionsundersøgelse af rygsøjle, følgende	Diagnostic radiology, functional examination of spine, subsequent	high
2407	Diagnostisk radiologi, underben, følgende	Diagnostic radiology, lower leg, subsequent	high
2410	Tandlægehjælp, akut oplukning	Dental service, acute opening (of tooth)	high
2411	Tandlægehjælp, almindelig paradontalbehandling	Dental service, ordinary periodontal treatment	high
2412	Tandlægehjælp, apikal amputation og rodfyldning	Dental service, apical amputation (apicoectomy) and root filling	high
2415	Tandlægehjælp, diagnostiske og forebyggende ydelser	Dental service, diagnostic and preventive services	high
2416	Tandlægehjælp, fyldning amalgam A	Dental service, amalgam filling, A	high
2417	Tandlægehjælp, fyldning amalgam B	Dental service, amalgam filling, B	high
2418	Tandlægehjælp, fyldning amalgam C	Dental service, amalgam filling, C	high
2421	Tandlægehjælp, gradvis eksklusive amalgam A	Dental service, gradual, excluding amalgam, A	medium
2422	Tandlægehjælp, gradvis eksklusive amalgam B	Dental service, gradual, excluding amalgam, B	medium
2423	Tandlægehjælp, gradvis eksklusive amalgam C	Dental service, gradual, excluding amalgam, C	medium
2424	Tandlægehjælp, hygiejnetillæg	Dental service, hygiene supplement	high
2425	Tandlægehjælp, individuel forebyggende behandling	Dental service, individual preventive treatment	high
2427	Tandlægehjælp, kirurgisk paradontalbehandling	Dental service, surgical periodontal treatment	high
2431	Tandlægehjælp, klinisk undersøgelse, over 25	Dental service, clinical examination, over 25 (years)	high
2432	Tandlægehjælp, klinisk undersøgelse 18-25	Dental service, clinical examination, 18-25 (years)	high
2433	Tandlægehjælp, konsultation uden behandling	Dental service, consultation without treatment	high
2434	Tandlægehjælp, kontrol efter forebyggende behandling	Dental service, follow-up after preventive treatment	high
2435	Tandlægehjælp, kontrol almindelig paradontalbehandling	Dental service, follow-up of ordinary periodontal treatment	high
2436	Tandlægehjælp, kontrol kirurgisk paradontalbehandling	Dental service, follow-up of surgical periodontal treatment	high
2437	Tandlægehjælp, kontrol RDU (26 år og derover)	Dental service, follow-up RDU (regular diagnostic examination) (26 years and over)	medium
2438	Tandlægehjælp, kontrol RDU (18-25 år)	Dental service, follow-up RDU (regular diagnostic examination) (18-25 years)	medium
2439	Tandlægehjælp, kontrol udvidet paradontalbehandling	Dental service, follow-up of extended periodontal treatment	high
2443	Tandlægehjælp, operation tand med videre	Dental service, tooth surgery etc.	high
2456	Tandlægehjælp, pulpaoverkapning	Dental service, pulp capping	high
2459	Tandlægehjælp, rodbehandling og rodfyldning C	Dental service, root-canal treatment and root filling, C	high
2460	Tandlægehjælp, rodbehandling og rodfyldning D	Dental service, root-canal treatment and root filling D	high
2461	Tandlægehjælp, rodbehandling og rodfyldning E	Dental service, root-canal treatment and root filling E	high
2466	Tandlægehjælp, tandrodsrensning	Dental service, tooth-root scaling	high
2467	Tandlægehjælp, udtrækning anden tand	Dental service, extraction of another tooth	high
2468	Tandlægehjælp, udtrækning følgende tand	Dental service, extraction of subsequent tooth	high
2470	Tandlægehjælp, udvidet paradontalbehandling	Dental service, extended periodontal treatment	high
2471	Tandlægehjælp, udvidet tandrensning	Dental service, extended dental scaling	high
2478	Fysioterapi 51, ADL-funktionstræning	Physiotherapy, activities-of-daily-living function training	high
2479	Fysioterapi 51, afspænding *hold*	Physiotherapy, relaxation therapy (group)	high
2480	Fysioterapi 51, afspænding *individuel*	Physiotherapy, relaxation therapy (individual)	high
2481	Fysioterapi 51, biomekanisk bevægelsesterapi	Physiotherapy, biomechanical movement therapy	high
2483	Fysioterapi 51, forundersøgelse A65	Physiotherapy, preliminary examination (county 65)	medium
2484	Fysioterapi 51, fysioterapeutisk undersøgelse	Physiotherapy, physiotherapeutic examination	high
2490	Fysioterapi 51, i hjem *uden klinik*	Physiotherapy, in the home (without clinic)	high
2497	Fysioterapi 51, kørselsgodtgørelse I	Physiotherapy, mileage allowance I	high
2499	Fysioterapi 51, lokalegodtgørelse	Physiotherapy, premises allowance	high
2502	Fysioterapi 51, mandag-fredag 16-20, lørdag 08-20	Physiotherapy, Monday-Friday 16:00-20:00, Saturday 08:00-20:00	high
2503	Fysioterapi 51, mandag-fredag 20-08, søndag/helligdag	Physiotherapy, Monday-Friday 20:00-08:00, Sunday/public holiday	high
2509	Fysioterapi 51, opfølgende træningsterapi	Physiotherapy, follow-up training therapy	high
2511	Fysioterapi 51, plejehjem *uden klinik*	Physiotherapy, nursing home (without clinic)	high
2515	Fysioterapi 51, psykomotorisk bevægelsesterapi	Physiotherapy, psychomotor movement therapy	high
2519	Fysioterapi 51, tillæg særlige tidskrav	Physiotherapy, supplement for special time requirements	medium
2520	Fysioterapi 51, telefonrådgivning og vejledning	Physiotherapy, telephone advice and guidance	high
2521	Fysioterapi 51, udvidet rygundersøgelse amt60	Physiotherapy, extended back examination (county 60)	medium
2523	Fysioterapi 51, forsøgsordning amt 65	Physiotherapy, trial scheme (county 65)	medium
2524	Fysioterapi 51, udeblivelse	Physiotherapy, non-attendance	high
2527	Fysioterapi 51, øvelsesterapi *hold*	Physiotherapy, exercise therapy (group)	high
2528	Fysioterapi 51, øvelsesterapi *individuel*	Physiotherapy, exercise therapy (individual)	high
2530	Briller, sfærisk 4.25 - 6.75	Eyeglasses, spherical 4.25 - 6.75	high
2531	Briller, sfærisk plan til 4.00	Eyeglasses, spherical plano up to 4.00	high
2532	Briller, sfærisk plan-4 afstand	Eyeglasses, spherical plano-4 distance	medium
2534	Briller, torisk plan-4 sfærisk 2.75	Eyeglasses, toric plano-4 spherical 2.75	medium
2537	Kiropraktik, kiropraktisk klinisk grundydelse a	Chiropractic, chiropractic clinical basic service a	high
2538	Kiropraktik, kiropraktisk klinisk grundydelse b	Chiropractic, chiropractic clinical basic service b	high
2539	Kiropraktik, kiropraktisk klinisk ydelse	Chiropractic, chiropractic clinical service	high
2540	Kiropraktik, opfølgende træningsydelse	Chiropractic, follow-up training service	high
2543	Kiropraktik, supplerende røntgenundersøgelse	Chiropractic, supplementary X-ray examination	high
2548	Kiropraktik, introduktion til superviseret træning	Chiropractic, introduction to supervised training	high
2550	Kiropraktik, røntgenteknisk undersøgelse	Chiropractic, radiographic-technical examination	high
2556	Fodterapi, afstilling plade/pen 0-10	Podiatry, plate/pin adjustment 0-10	low
2559	Fodterapi, fodbehandling almindelig	Podiatry, foot treatment, ordinary	high
2560	Fodterapi, fodbehandling kompliceret	Podiatry, foot treatment, complicated	high
2561	Fodterapi, fodbehandling partiel	Podiatry, foot treatment, partial	high
2562	Fodterapi, fremstilling/påsætning 1 ny bøjle	Podiatry, fabrication/fitting of 1 new brace	high
2564	Fodterapi, i hjem 0 - 10 km	Podiatry, in the home 0 - 10 km	high
2565	Fodterapi, i hjem over 10 km	Podiatry, in the home over 10 km	high
2575	Fodterapi, korrektion af 1 bøjle	Podiatry, correction of 1 brace	high
2576	Fodterapi, korrektion af 2 bøjler	Podiatry, correction of 2 braces	high
2580	Fodterapi, pensionist hjemme 0 - 10	Podiatry, pensioner at home 0 - 10	high
2581	Fodterapi, plejehjem 0 - 10 km	Podiatry, nursing home 0 - 10 km	high
2583	Fodterapi, værkstedsmoduler	Podiatry, workshop modules	high
2591	Ortonyxi, afstilling plade/pen 0-10	Orthonyxia, plate/pin adjustment 0-10	low
2593	Ortonyxi, fremstilling/påsætning 1 ny bøjle	Orthonyxia, fabrication/fitting of 1 new brace	high
2595	Ortonyxi, følgende modul (med tillæg)	Orthonyxia, subsequent module (with supplement)	medium
2596	Ortonyxi, følgende modul (uden tillæg)	Orthonyxia, subsequent module (without supplement)	medium
2597	Ortonyxi, i hjem 0 - 10 km	Orthonyxia, in the home 0 - 10 km	high
2602	Ortonyxi, Korrektion af 1 bøjle	Orthonyxia, correction of 1 brace	high
2603	Ortonyxi, Korrektion af 2 bøjler	Orthonyxia, correction of 2 braces	high
2606	Ortonyxi, Pensionist hjemme 0-10 km	Orthonyxia, pensioner at home, 0-10 km	high
2607	Ortonyxi, Pensionist hjemme over 10 km	Orthonyxia, pensioner at home, over 10 km	high
2608	Ortonyxi, Plejehjem 0-10 km	Orthonyxia, nursing home, 0-10 km	high
2613	Ridefysioterapi, Fysioterapihonorar ½ time, 4 personer	Horseback-riding physiotherapy, physiotherapy fee, ½ hour, 4 persons	high
2614	Ridefysioterapi, Fysioterapihonorar ½ time, 5 personer	Horseback-riding physiotherapy, physiotherapy fee, ½ hour, 5 persons	high
2615	Ridefysioterapi, Fysioterapihonorar ½ time, 1 person	Horseback-riding physiotherapy, physiotherapy fee, ½ hour, 1 person	high
2622	Ridefysioterapi, Rideskolehonorar 2 personer	Horseback-riding physiotherapy, riding-school fee, 2 persons	high
2623	Ridefysioterapi, Rideskolehonorar 4 personer	Horseback-riding physiotherapy, riding-school fee, 4 persons	high
2627	Ridefysioterapi, Fysioterapihonorar ½ time, 3 personer	Horseback-riding physiotherapy, physiotherapy fee, ½ hour, 3 persons	high
2628	Ridefysioterapi, Rideskolehonorar 1 person	Horseback-riding physiotherapy, riding-school fee, 1 person	high
2629	Ridefysioterapi, Rideskolehonorar 3 personer	Horseback-riding physiotherapy, riding-school fee, 3 persons	high
2634	Genoptræning, Øfeldt, Funktionsundersøgelse handicappet	Rehabilitation, Øfeldt, functional examination of disabled person	high
2636	Genoptræning, Øfeldt, Kontrolundersøgelse af handicappet	Rehabilitation, Øfeldt, follow-up examination of disabled person	high
2641	Genoptræning, Øfeldt, Optræning/behandling 1 time	Rehabilitation, Øfeldt, training/treatment, 1 hour	high
2642	Genoptræning, Øfeldt, Optræning/behandling ½ time	Rehabilitation, Øfeldt, training/treatment, ½ hour	high
2650	Genoptræning, Øfeldt, Ved.fri optræning 1 time	Rehabilitation, Øfeldt, fee-free/maintenance-free training, 1 hour	low
2651	Genoptræning, Øfeldt, Ved.fri optræning ½ time	Rehabilitation, Øfeldt, fee-free/maintenance-free training, ½ hour	low
2659	Fodbehandling arvævspatienter, Afstilling plejehjem/pensionist 0-10 km	Foot treatment, scar-tissue patients, call-out to nursing home/pensioner, 0-10 km	medium
2661	Fodbehandling arvævspatienter, Fodbehandling - Almindelig	Foot treatment, scar-tissue patients, foot treatment - ordinary	high
2662	Fodbehandling arvævspatienter, Fodbehandling Partiel	Foot treatment, scar-tissue patients, foot treatment, partial	high
2671	Fodbehandling arvævspatienter, Værkstedstid ved indlæg	Foot treatment, scar-tissue patients, workshop time for insole/orthotic	medium
2675	Reumatologi, 3 behandlinger varmtvandsbassin	Rheumatology, 3 treatments, warm-water pool	high
2676	Reumatologi, Afsluttende samtale	Rheumatology, concluding talk/consultation	high
2683	Reumatologi, Blodprøve ekspedition 1	Rheumatology, blood-sample dispatch/handling 1	medium
